Delete,Borough,QC,1940 Block Number,Alternative Block Number,1940 Lot Number,Alternative Lot Number,1940 Building Number,Alternative Building Number,1940 Street Name,Alternative Street Name,Roll Number,Landmark,Complete Address,"Condition (Hole Punch, Deteriorated, Tape) ",Notes,ZIP Code,LOT FRONTAGE,LOT DEPTH,YEAR BUILT,YEAR ALTERED1,YEAR ALTERED2,Date,Flagged,File Name ,
,Manhattan,*,993,,1,,561-565,,7 Avenue,,C-0823,,561-565 7 Avenue,,,,59.03,0.60,1925,,,1939-1941,,nynyma_rec0040_1_00993_0001,
,Manhattan,*,993,,3,,567,,7 Avenue,,E-1336,,567 7 Avenue,,,,19.09,0.60,1900,,,1939-1941,,nynyma_rec0040_1_00993_0003,
,Manhattan,*,993,,5,,143-145,,West 40 Street,,A-0186,,143-145 West 40 Street,,,,0.50,98.09,1964,,,1939-1941,,nynyma_rec0040_1_00993_0005,
,Manhattan,*,993,,7,,1431-1433,,Broadway,,E-1336,,1431-1433 Broadway,,,,47.08,82.09,1924,,,1939-1941,,nynyma_rec0040_1_00993_0007,
,Manhattan,*,993,,8,,1435-1439,,Broadway,,A-0186,,1435-1439 Broadway,Tape,,,65.02,51.11,1965,,,1939-1941,,nynyma_rec0040_1_00993_0008,
,Manhattan,*,993,,8,,1435-1439,,Broadway,,E-1336,,1435-1439 Broadway,,,,,,,,,1939-1941,,nynyma_rec0040_1_00993_0008a,
,Manhattan,*,993,,10,,,,Broadway,,C-0823,, Broadway,Tape,,,,,,,,1939-1941,,nynyma_rec0040_1_00993_0010,
,Manhattan,*,993,,10,,,,Broadway,,E-1336,, Broadway,,,,,,,,,1939-1941,,nynyma_rec0040_1_00993_0010a,
,Manhattan,*,993,,11,,1434-1444,,Broadway,,E-1336,,1434-1444 Broadway,,,,128.01,203.10,1924,,,1939-1941,,nynyma_rec0040_1_00993_0011,
,Manhattan,*,993,,22,,115-119,,West 40 Street,,A-0186,,115-119 West 40 Street,,,,79.06,197.06,1915,,,1939-1941,,nynyma_rec0040_1_00993_0022,
,Manhattan,*,993,,25,,105,,West 40 Street,,E-1336,,105 West 40 Street,,,,,,,,,1939-1941,,nynyma_rec0040_1_00993_0025,
,Manhattan,*,993,,29,,111,,West 40 Street,,A-0186,,111 West 40 Street,,,,98.09,2.00,1958,,,1939-1941,,nynyma_rec0040_1_00993_0029,
,Manhattan,*,993,,36,,1071,,Avenue of the Americas,,E-1336,,1071 Avenue of the Americas,,,,98.09,1.25,1919,,,1939-1941,,nynyma_rec0040_1_00993_0036,
,Manhattan,*,993,,38,,108-112,,West 41 Street,,A-0186,,108-112 West 41 Street,Tape,,,,,,,,1939-1941,,nynyma_rec0040_1_00993_0038,
,Manhattan,*,993,,38,,108-112,,West 41 Street,,E-1336,,108-112 West 41 Street,Tape,,,,,,,,1939-1941,,nynyma_rec0040_1_00993_0038a,
,Manhattan,*,993,,38,,108-112,,West 41 Street,,A-0186,,108-112 West 41 Street,,,,,,,,,1939-1941,,nynyma_rec0040_1_00993_0038b,
,Manhattan,*,993,,43,,120-122,,West 41 Street,,E-1335,,120-122 West 41 Street,,,,0.40,98.09,1912,,,1939-1941,,nynyma_rec0040_1_00993_0043,
,Manhattan,*,993,,47,,1446-1450,,Broadway,,E-1335,,1446-1450 Broadway,,,,76.10,173.02,1930,,,1939-1941,,nynyma_rec0040_1_00993_0047,
,Manhattan,*,993,,55,,1441-1445,,Broadway,,E-1335,,1441-1445 Broadway,,,,0.92,157.10,1929,,,1939-1941,,nynyma_rec0040_1_00993_0055,
,Manhattan,*,993,,104,,147,,West 40 Street,,E-1335,,147 West 40 Street,,,,0.20,98.09,1900,,,1939-1941,,nynyma_rec0040_1_00993_0104,
,Manhattan,*,994,,1,,1451-1455,,Broadway,,E-1335,,1451-1455 Broadway,,,,61.08,141.01,1940,,,1939-1941,,nynyma_rec0040_1_00994_0001,
,Manhattan,*,994,,7,,1457-1463,,Broadway,,B-0336,,1457-1463 Broadway,Tape,,,92.01,99.10,1915,,,1939-1941,,nynyma_rec0040_1_00994_0007,
,Manhattan,*,994,,7,,1457-1463,,Broadway,,E-1335,,1457-1463 Broadway,,,,92.01,99.10,1915,,,1939-1941,,nynyma_rec0040_1_00994_0007a,
,Manhattan,*,994,,9,,1456-1460,,Broadway,,B-0336,,1456-1460 Broadway,Tape,,,102.05,113.04,1952,,,1939-1941,,nynyma_rec0040_1_00994_0009,
,Manhattan,*,994,,11,,147,,West 41 Street,,E-1335,,147 West 41 Street,,,,,,,,,1939-1941,,nynyma_rec0040_1_00994_0011,
,Manhattan,*,994,,16,,141,,West 41 Street,,B-0336,,141 West 41 Street,,,,0.25,98.09,1900 (Estimated),,,1939-1941,,nynyma_rec0040_1_00994_0016,
,Manhattan,*,994,,17,,133-139,,West 41 Street,,E-1335,,133-139 West 41 Street,,,,,,,,,1939-1941,,nynyma_rec0040_1_00994_0017,
,Manhattan,*,994,,21,,131,,West 41 Street,,B-0336,,131 West 41 Street,,,,,,,,,1939-1941,,nynyma_rec0040_1_00994_0021,
,Manhattan,*,994,,29,,1081,,Avenue of the Americas,,E-1335,,1081 Avenue of the Americas,,,,,,,,,1939-1941,,nynyma_rec0040_1_00994_0029,
,Manhattan,*,994,,30,,1083,,Avenue of the Americas,,B-0336,,1083 Avenue of the Americas,,,,,,,,,1939-1941,,nynyma_rec0040_1_00994_0030,
,Manhattan,*,994,,31,,1085,,Avenue of the Americas,,E-1335,,1085 Avenue of the Americas,,,,,,,,,1939-1941,,nynyma_rec0040_1_00994_0031,
,Manhattan,*,994,,33,,1095-1091,,Avenue of the Americas,,B-0336,,1095-1091 Avenue of the Americas,,,,197.06,3.00,1971,,,1939-1941,,nynyma_rec0040_1_00994_0033,
,Manhattan,*,994,,33,,1095-1091,,Avenue of the Americas,,E-1335,,1095-1091 Avenue of the Americas,Hole Punch,,,197.06,3.00,1971,,,1939-1941,,nynyma_rec0040_1_00994_0033a,
,Manhattan,*,994,,37,,110-114,,West 42 Street,,B-0336,,110-114 West 42 Street,,,,,,,,,1939-1941,,nynyma_rec0040_1_00994_0037,
,Manhattan,*,994,,40,,116-122,,West 42 Street,,E-1335,,116-122 West 42 Street,,,,,,,,,1939-1941,,nynyma_rec0040_1_00994_0040,
,Manhattan,*,994,,42,,124,,West 42 Street,,B-0336,,124 West 42 Street,,,,0.25,98.09,1912,,,1939-1941,,nynyma_rec0040_1_00994_0042,
,Manhattan,*,994,,43,,126,,West 42 Street,,E-1335,,126 West 42 Street,,,,,,,,,1939-1941,,nynyma_rec0040_1_00994_0043,
,Manhattan,*,994,,44,,128,,West 42 Street,,B-0336,,128 West 42 Street,,,,,,,,,1939-1941,,nynyma_rec0040_1_00994_0044,
,Manhattan,*,994,,45,,130-134,,West 42 Street,,E-1335,Bush Tower,130-134 West 42 Street,Tape,,,0.50,197.06,1917,1985,,1939-1941,,nynyma_rec0040_1_00994_0045,
,Manhattan,*,994,,45,,130-134,,West 42 Street,,B-0336,Bush Tower,130-134 West 42 Street,,,,,,,,,1939-1941,,nynyma_rec0040_1_00994_0045a,
,Manhattan,*,994,,47,,136,,West 42 Street,,E-1335,,136 West 42 Street,,,,0.25,98.09,1900 (Estimated),,,1939-1941,,nynyma_rec0040_1_00994_0047,
,Manhattan,*,994,,48,,138,,West 42 Street,,B-0336,,138 West 42 Street,,,,,,,,,1939-1941,,nynyma_rec0040_1_00994_0048,
,Manhattan,*,994,,49,,140,,West 42 Street,,E-1335,,140 West 42 Street,Tape,,,0.25,98.09,0,,,1939-1941,,nynyma_rec0040_1_00994_0049,
,Manhattan,*,994,,49,,140,,West 42 Street,,B-0336,,140 West 42 Street,Deteriorated,,,,,,,,1939-1941,,nynyma_rec0040_1_00994_0049a,
,Manhattan,*,994,,54,,1462-1470,,Broadway,,E-1335,Knickerbocker Hotel,1462-1470 Broadway,,,,102.06,185.06,1907,1980-1981,,1939-1941,,nynyma_rec0040_1_00994_0054,
,Manhattan,*,994,,58,,1465-1467,,Broadway,,B-0336,,1465-1467 Broadway,,,,51.03,86.01,1986,,,1939-1941,,nynyma_rec0040_1_00994_0058,
,Manhattan,*,994,,129,,105,,Broadway,,E-1335,,105 Broadway,Tape,,,,,,,,1939-1941,,nynyma_rec0040_1_00994_0129,
,Manhattan,*,995,,1,,1475,,Broadway,,B-0336,,1475 Broadway,,,,1.43,58.04,1908,1965,,1939-1941,,nynyma_rec0040_1_00995_0001,
,Manhattan,*,995,,5,,1472-1480,,Broadway,,E-1335,,1472-1480 Broadway,,,,104.03,112.10,1913,,,1939-1941,,nynyma_rec0040_1_00995_0005,
,Manhattan,*,995,,12,,145,,West 42 Street,,E-1335,,145 West 42 Street,,,,0.25,100.05,1923,,,1939-1941,,nynyma_rec0040_1_00995_0012,
,Manhattan,*,995,,12,,145,,West 42 Street,,E-1335,,145 West 42 Street,Tape,,,0.25,100.05,1923,,,1939-1941,,nynyma_rec0040_1_00995_0012a,
,Manhattan,*,995,,13,,143,,West 42 Street,,E-1335,,143 West 42 Street,,,,0.25,100.05,1920 (Estimated),,,1939-1941,,nynyma_rec0040_1_00995_0013,
,Manhattan,*,995,,13,,143,,West 42 Street,,E-1335,,143 West 42 Street,Tape,,,0.25,100.05,1920 (Estimated),,,1939-1941,,nynyma_rec0040_1_00995_0013a,
,Manhattan,*,995,,14,,141,,West 42 Street,,E-1335,,141 West 42 Street,,,,0.25,100.05,1920 (Estimated),,,1939-1941,,nynyma_rec0040_1_00995_0014,
,Manhattan,*,995,,15,,135-39,,West 42 Street,,C-0823,,135-39 West 42 Street,,,,0.60,100.05,1920 (Estimated),,,1939-1941,,nynyma_rec0040_1_00995_0015,
,Manhattan,*,995,,17,,133,,West 42 Street,,E-1335,,133 West 42 Street,,,,0.20,100.05,1920 (Estimated),,,1939-1941,,nynyma_rec0040_1_00995_0017,
,Manhattan,*,995,,18,,131,,West 42 Street,,C-0823,,131 West 42 Street,,,,0.20,100.05,1920 (Estimated),,,1939-1941,,nynyma_rec0040_1_00995_0018,
,Manhattan,*,995,,19,,129,,West 42 Street,,E-1335,,129 West 42 Street,Hole Punch,,,0.20,100.05,1923,,,1939-1941,,nynyma_rec0040_1_00995_0019a,
,Manhattan,*,995,,19,,129,,West 42 Street,,E-1335,,129 West 42 Street,,,,,,,,,1939-1941,,nynyma_rec0040_1_00995_0019b,
,Manhattan,*,995,,20,,125-127,,West 42 Street,,E-1335,,125-127 West 42 Street,,,,0.40,100.05,1923,,,1939-1941,,nynyma_rec0040_1_00995_0020,
,Manhattan,*,995,,21,,123,,West 42 Street,,E-1335,,123 West 42 Street,,,,0.20,100.05,1923 (Estimated),,,1939-1941,,nynyma_rec0040_1_00995_0021,
,Manhattan,*,995,,22,,121,,West 42 Street,,E-1335,,121 West 42 Street,,,,0.20,200.10,1939,1988,,1939-1941,,nynyma_rec0040_1_00995_0022,
,Manhattan,*,995,,23,,119,,West 42 Street,,E-1335,,119 West 42 Street,,,,0.25,100.05,1923 (Estimated),,,1939-1941,,nynyma_rec0040_1_00995_0023,
,Manhattan,*,995,,24,,117,,West 42 Street,,E-1335,,117 West 42 Street,,,,0.25,100.05,1923 (Estimated),,,1939-1941,,nynyma_rec0040_1_00995_0024,
,Manhattan,*,995,,25,,115,,West 42 Street,,E-1335,,115 West 42 Street,,,,0.25,100.05,1923 (Estimated),,,1939-1941,,nynyma_rec0040_1_00995_0025,
,Manhattan,*,995,,26,,113,,West 42 Street,,C-0823,,113 West 42 Street,,,,0.25,100.05,1927,,,1939-1941,,nynyma_rec0040_1_00995_0026a,
,Manhattan,*,995,,26,,113,,West 42 Street,,E-1335,,113 West 42 Street,Tape,,,,,,,,1939-1941,,nynyma_rec0040_1_00995_0026b,
,Manhattan,*,995,,27,,111,,West 42 Street,,E-1335,,111 West 42 Street,,,,0.25,100.05,1920 (Estimated),,,1939-1941,,nynyma_rec0040_1_00995_0027,
,Manhattan,*,995,,28,,109,,West 42 Street,,E-1335,,109 West 42 Street,,,,0.25,100.05,1920 (Estimated),,,1939-1941,,nynyma_rec0040_1_00995_0028,
,Manhattan,*,995,,29,,1101-1109,,Avenue of the Americas,,E-1334,,1101-1109 Avenue of the Americas,,,,100.05,0.60,1920 (Estimated),,,1939-1941,,nynyma_rec0040_1_00995_0029,
,Manhattan,*,995,,33,,1111,,Avenue of the Americas,,E-1334,,1111 Avenue of the Americas,,,,19.10,0.80,1920 (Estimated),,,1939-1941,,nynyma_rec0040_1_00995_0033,
,Manhattan,*,995,,34,,1113,,Avenue of the Americas,,E-1334,,1113 Avenue of the Americas,,,,39.02,0.80,1920 (Estimated),,,1939-1941,,nynyma_rec0040_1_00995_0034,
,Manhattan,*,995,,35,,1117,,Avenue of the Americas,,E-1334,,1117 Avenue of the Americas,,,,19.09,60.09,1920 (Estimated),,,1939-1941,,nynyma_rec0040_1_00995_0035,
,Manhattan,*,995,,36,,1119,,Avenue of the Americas,,E-1334,,1119 Avenue of the Americas,,,,21.08,60.09,1920 (Estimated),,,1939-1941,,nynyma_rec0040_1_00995_0036a,
,Manhattan,*,995,,36,,1119,,Avenue of the Americas,,E-1334,,1119 Avenue of the Americas,Tape,,,,,,,,1939-1941,,nynyma_rec0040_1_00995_0036b,
,Manhattan,*,995,,37,,106,,West 43 Street,,E-1334,,106 West 43 Street,,,,22.06,100.05,1920 (Estimated),,,1939-1941,,nynyma_rec0040_1_00995_0037,
,Manhattan,*,995,,38,,108-116,,West 43 Street,,E-1334,,108-116 West 43 Street,,,,1.00,100.05,1911,,,1939-1941,,nynyma_rec0040_1_00995_0038,
,Manhattan,*,995,,42,,118,,West 43 Street,,E-1334,,118 West 43 Street,,,,,,,,,1939-1941,,nynyma_rec0040_1_00995_0042,
,Manhattan,*,995,,44,,122,,West 43 Street,,E-1334,,122 West 43 Street,,,,,,,,,1939-1941,,nynyma_rec0040_1_00995_0044,
,Manhattan,*,995,,45,,124-130,,West 43 Street,,E-1334,Henry Miller's Theater,124-130 West 43 Street,,,,85.09,100.05,1910 (Estimated),,,1939-1941,,nynyma_rec0040_1_00995_0045,
,Manhattan,*,995,,48,,132-136,,West 43 Street,,E-1334,,132-136 West 43 Street,,,,62.06,100.05,1904,1980-1981,,1939-1941,,nynyma_rec0040_1_00995_0048,
